#14 mm plaque. Table 1 from  Chiu-Tsao et al Medical Physics, Vol. 39, No. 10, October 2012
Seed_num x_c y_c z_c x_p1 y_p1 z_p1 x_p2 y_p2 z_p2 angle_deg
1 -5.90 0.00 -1.06 -5.90 2.25 -1.06 -5.90 -2.25 -1.06 180
2 -2.95 -5.11 -1.06 -4.90 -3.98 -1.06 -1.00 -6.23 -1.06 240
3 2.95 -5.11 -1.06 1.00 -6.23 -1.06 4.90 -3.98 -1.06 300
4 5.90 0.00 -1.06 5.90 -2.25 -1.06 5.90 2.25 -1.06 0
5 2.95 5.11 -1.06 4.90 3.98 -1.06 1.00 6.23 -1.06 60
6 -2.95 5.11 -1.06 -1.00 6.23 -1.06 -4.90 3.98 -1.06 120
7 -4.10 0.00 -1.77 -4.10 2.25 -1.77 -4.10 -2.25 -1.77 180
8 0.00 -4.10 -1.77 -2.25 -4.10 -1.77 2.25 -4.10 -1.77 270
9 4.10 0.00 -1.77 4.10 -2.25 -1.77 4.10 2.25 -1.77 0
10 0.00 4.10 -1.77 2.25 4.10 -1.77 -2.25 4.10 -1.77 90
11 0.00 -2.10 -2.24 -2.25 -2.10 -2.24 2.25 -2.10 -2.24 270
12 0.00 2.10 -2.24 2.25 2.10 -2.24 -2.25 2.10 -2.24 90
13 0.00 0.00 -2.40 2.25 0.00 -2.40 -2.25 0.00 -2.40 90
